,StreetNum,StreetName,ZipCode,Lat,Long,PickupType,Grade,Geocode,NeighborhoodSafetyScore,MaxWalk,AssignedSchool,CurrentSchoolStart,CurrentSchoolEnd,SchoolAddress,SchoolLat,SchoolLong,StopFlex,NewLat,NewLong
23,2840,WASHINGTON ST,2119,42.320899,-71.092694,D2D,3,25025081500,5,0.5,Carlton Fisk School,7:30:00 AM,2:10:00 PM,"60 Washington St, 02121",42.307152,-71.081162,0.0,42.320898999999997,-71.092693999999995
24,1,HUNTINGTON AV,2116,42.348784,-71.078009,Corner,1,25025010600,7,0.4,Joe Castiglione School,7:30:00 AM,2:10:00 PM,"140 Russett Rd, 02132",42.29256,-71.152211,0.4,42.351970000000001,-71.084350000000001
25,1,ARDEE ST,2128,42.365976,-71.030423,D2D,3,25025051200,3,0.5,Ben Mondor School,7:30:00 AM,3:00:00 PM,"205 Townsend St, 02121",42.316794,-71.084757,0.0,42.365976000000003,-71.030422999999999
26,1,RIVERSIDE SQ,2136,42.25902,-71.11502,Corner,6,25025140300,6,0.4,Jim Rice School,8:30:00 AM,3:10:00 PM,"215 Dorchester St, 02127",42.333728,-71.050617,0.4,42.259770000000003,-71.116469999999993
27,3141,WASHINGTON ST,2130,42.314173,-71.100266,Corner,3,25025120301,5,0.3,George Lewis School,8:30:00 AM,3:10:00 PM,"10 Fenwood Rd, 02115",42.33392,-71.106364,0.3,42.311790000000002,-71.099280000000007
28,1,NASSAU ST,2111,42.34856,-71.062948,D2D,4,25025070200,7,0.5,Carlton Fisk School,7:30:00 AM,2:10:00 PM,"60 Washington St, 02121",42.307152,-71.081162,0.0,42.348559999999999,-71.062947999999992
29,1,RAYMOND ST,2134,42.36175,-71.135716,D2D,1,25025000100,5,0.4,Vern Stephens School,9:30:00 AM,5:00:00 PM,"50 Bunker Hill St, 02129",42.37668,-71.057759,0.0,42.361750000000001,-71.135716000000002
30,3235,WASHINGTON ST,2130,42.31192,-71.10241,Corner,0,25025120301,5,0.3,Rick Ferrell School,7:30:00 AM,3:00:00 PM,"570 Amer Legion Hwy, 02131",42.286377,-71.107826,0.3,42.313659999999999,-71.107330000000005
31,1,HUNTINGTON AV,2116,42.348784,-71.078009,Corner,2,25025010600,7,0.3,Jim Lonborg School,8:30:00 AM,4:00:00 PM,"270 Columbia Rd, 02121",42.309175,-71.0756,0.3,42.34901,-71.083840000000009
32,1,VIKING TE,2126,42.27152,-71.08918,Corner,3,25025101002,5,0.3,Jason Varitek School,9:30:00 AM,5:00:00 PM,"205 Roxbury St, 02119",42.330591,-71.091208,0.3,42.270299999999999,-71.088409999999996
33,1,NASSAU ST,2111,42.34856,-71.062948,Corner,3,25025070200,7,0.5,John Gorman School,8:30:00 AM,4:00:00 PM,"110 Beachview Rd, 02128",42.391629,-71.005053,0.5,42.343330000000002,-71.066009999999991
34,3573,WASHINGTON ST,2130,42.30416,-71.11004,Corner,2,25025120201,3,0.4,John Taylor School,9:30:00 AM,5:00:00 PM,"450 Poplar St, 02131",42.274604,-71.127316,0.4,42.300965000000005,-71.108558000000002
35,3859,WASHINGTON ST,2131,42.29674,-71.11768,Corner,5,25025110103,3,0.4,John Gorman School,8:30:00 AM,4:00:00 PM,"110 Beachview Rd, 02128",42.391629,-71.005053,0.4,42.293013999999999,-71.123229000000009
36,3885,WASHINGTON ST,2131,42.295843,-71.118649,Corner,3,25025110103,3,0.5,Bruce Hurst School,8:30:00 AM,4:00:00 PM,"144 McBride St, 02130",42.306584,-71.109228,0.5,42.293013999999999,-71.123229000000009
37,1,AVERY ST,2111,42.353458,-71.062852,Corner,0,25025070101,7,0.2,Jimmie Foxx School,7:30:00 AM,3:00:00 PM,"50 Burke St, 02127",42.337285,-71.085266,0.2,42.353650000000002,-71.063850000000002
38,1,ASHBURTON PL,2114,42.359276,-71.062359,Corner,3,25025030300,7,0.3,Jason Varitek School,9:30:00 AM,5:00:00 PM,"205 Roxbury St, 02119",42.330591,-71.091208,0.3,42.356884000000001,-71.059128999999999
39,3984,WASHINGTON ST,2131,42.29283,-71.12102,D2D,3,25025110103,3,0.3,Bill Monbouquette School,8:30:00 AM,4:00:00 PM,"240 Medford St, 02129",42.380102,-71.061057,0.0,42.292830000000002,-71.121020000000001
40,1,CHARLES STREET SOUTH  ,2116,42.351541,-71.067431,Corner,0,25025070300,5,0.3,Reggie Smith School,9:30:00 AM,5:00:00 PM,"40 Gordon Ave, 02136",42.256769,-71.127075,0.3,42.351948,-71.071586999999994
41,4008,WASHINGTON ST,2131,42.29212,-71.12177,Corner,3,25025110103,3,0.5,Lefty Grove School,7:30:00 AM,3:00:00 PM,"150 Norfolk Ave, 02119",42.326126,-71.071284,0.5,42.287030000000001,-71.128410000000002
42,4045,WASHINGTON ST,2131,42.291329,-71.123264,Corner,4,25025110103,3,0.5,Bill Lee School,8:30:00 AM,3:10:00 PM,"25 Warren St, 02135",42.349138,-71.145516,0.5,42.287030000000001,-71.128410000000002
43,4051,WASHINGTON ST,2131,42.29112,-71.12345,D2D,2,25025110103,3,0.4,Rico Petrocelli School,8:30:00 AM,4:00:00 PM,"200 Heath St, 02130",42.326009,-71.106552,0.0,42.291119999999999,-71.123450000000005
44,4061,WASHINGTON ST,2131,42.29094,-71.12367,D2D,4,25025110103,3,0.5,Joe Dobson School,8:30:00 AM,4:00:00 PM,"61 School St, 02119",42.313946,-71.097867,0.0,42.290939999999999,-71.12366999999999
45,1,STOCKTON ST,2124,42.28321,-71.07177,Corner,5,25025100400,5,0.4,Larry Lucchino School,8:30:00 AM,3:10:00 PM,"51 Cedar St, 02119",42.325545,-71.091086,0.4,42.284170000000003,-71.064999999999998
46,1,WESTINGHOUSE PZ,2136,42.3594,-71.0587,Corner,1,25025030300,7,0.4,Ellis Kinder School,8:30:00 AM,3:10:00 PM,"60 Hawthorne St, 02136",42.28301,-71.126357,0.4,42.356884000000001,-71.059128999999999
47,4228,WASHINGTON ST,2131,42.286179,-71.12804,Corner,2,25025110502,4,0.4,Nomar Garciaparra School,8:30:00 AM,3:10:00 PM,"54 Dighton St, 02135",42.347796,-71.155576,0.4,42.287584000000003,-71.135245999999995
48,1,CHARLES STREET SOUTH  ,2116,42.351541,-71.067431,Corner,3,25025070300,5,0.3,Tommy Harper School,8:30:00 AM,4:00:00 PM,"396 Northampton St, 02118",42.340473,-71.08306,0.3,42.351948,-71.071586999999994
49,4324,WASHINGTON ST,2131,42.28363,-71.13081,Corner,3,25025110502,4,0.5,Dick Bresciani School,7:30:00 AM,3:00:00 PM,"20 Church St, 02116",42.348816,-71.068212,0.5,42.287584000000003,-71.135245999999995
50,1,PICKERING AV,2119,42.32158,-71.08486,Corner,0,25025081700,7,0.3,Don Zimmer School,9:30:00 AM,5:00:00 PM,"67 Alleghany St, 02120",42.330669,-71.099301,0.3,42.322949999999999,-71.081859999999992
51,1,CHARLES STREET SOUTH  ,2116,42.351541,-71.067431,Corner,6,25025070300,5,0.4,Harry Hooper School,7:30:00 AM,2:10:00 PM,"9 Peacevale Rd, 02124",42.285125,-71.076013,0.4,42.351948,-71.071586999999994
52,4374,WASHINGTON ST,2131,42.28224,-71.1323,D2D,3,25025110502,4,0.5,Bruce Hurst School,8:30:00 AM,4:00:00 PM,"144 McBride St, 02130",42.306584,-71.109228,0.0,42.282240000000002,-71.132300000000001
53,4387,WASHINGTON ST,2131,42.28211,-71.13309,Corner,3,25025110502,4,0.3,Dutch Leonard School,8:30:00 AM,4:00:00 PM,"655 Metropolitan Av, 02136",42.262783,-71.117881,0.3,42.278300000000002,-71.13409
54,4440,WASHINGTON ST,2131,42.27979,-71.13493,Corner,6,25025110502,4,0.4,Luis Tiant School,9:30:00 AM,5:00:00 PM,"6 Shirley St, 02119",42.323526,-71.072897,0.4,42.275940000000006,-71.132780000000011
55,1,HOWLAND ST,2121,42.31143,-71.08322,Corner,0,25025082000,6,0.3,Tim Wakefield School,9:30:00 AM,4:10:00 PM,"85 Olney St, 02121",42.306015,-71.073605,0.3,42.312748999999997,-71.083101999999997
56,4907,WASHINGTON ST,2132,42.2693,-71.14869,D2D,5,25025130404,3,0.5,Mel Parnell School,8:30:00 AM,3:10:00 PM,"71 Pleasant St, 02125",42.31365,-71.059813,0.0,42.269300000000001,-71.148690000000002
57,4925,WASHINGTON ST,2132,42.26889,-71.14924,D2D,1,25025130404,3,0.4,Frank Malzone School,8:30:00 AM,4:00:00 PM,"20 Kearsarge Ave, 02119",42.327022,-71.081716,0.0,42.268889999999999,-71.149240000000006
58,4925,WASHINGTON ST,2132,42.26889,-71.14924,D2D,5,25025130404,3,0.5,Haywood Sullivan School,9:30:00 AM,4:10:00 PM,"20 Warren St, 02135",42.350354,-71.145582,0.0,42.268889999999999,-71.149240000000006
59,1,PARK LA,2127,42.34848,-71.038813,Corner,1,25025060600,6,0.2,Herb Pennock School,7:30:00 AM,2:10:00 PM,"100 Maxwell St, 02124",42.281211,-71.080863,0.2,42.347099,-71.038057999999992
60,1,HULL STREET CT,2113,42.36635,-71.05514,Corner,1,25025030100,1,0.4,Larry Lucchino School,8:30:00 AM,3:10:00 PM,"51 Cedar St, 02119",42.325545,-71.091086,0.4,42.367090000000005,-71.052719999999994
61,1,STONECREST RD,2126,42.27763,-71.10747,Corner,3,25025101001,4,0.3,Carl Yastrzemski School,7:30:00 AM,3:00:00 PM,"11 Charles St, 02122",42.300881,-71.061732,0.3,42.27563,-71.107399999999998
62,1,PARK LA,2127,42.34848,-71.038813,D2D,5,25025060600,6,0.5,Lefty Grove School,7:30:00 AM,3:00:00 PM,"150 Norfolk Ave, 02119",42.326126,-71.071284,0.0,42.348480000000002,-71.038813000000005
63,4975,WASHINGTON ST,2132,42.26799,-71.15106,D2D,1,25025130404,3,0.4,Tris Speaker School,7:30:00 AM,2:10:00 PM,"40 Pershing Rd, 02130",42.318999,-71.114084,0.0,42.267990000000005,-71.151060000000001
64,1,DESIGN CENTER  PL,2210,42.344195,-71.03343,D2D,4,25025981202,7,0.5,Frank Sullivan School,9:30:00 AM,4:10:00 PM,"174 Ipswich St, 02215",42.346182,-71.094974,0.0,42.344194999999999,-71.03343000000001
65,1,SHELDON ST,2131,42.28512,-71.12354,Corner,5,25025110401,4,0.5,Jackie Jensen School,8:30:00 AM,3:10:00 PM,"28 Walker St, 02129",42.379137,-71.067343,0.5,42.287030000000001,-71.128410000000002
66,5016,WASHINGTON ST,2132,42.26602,-71.1515,Corner,0,25025130406,2,0.2,Cecil Hughson School,8:30:00 AM,4:00:00 PM,"18 Croftland Av, 02124",42.281235,-71.069592,0.2,42.266040000000004,-71.15231
67,1,CANDOR PL,2130,42.3124,-71.11071,D2D,5,25025120400,3,0.5,Haywood Sullivan School,9:30:00 AM,4:10:00 PM,"20 Warren St, 02135",42.350354,-71.145582,0.0,42.312399999999997,-71.110709999999997
68,1,CHARLES STREET SOUTH  ,2116,42.351541,-71.067431,Corner,5,25025070300,5,0.4,Dom DiMaggio School,8:30:00 AM,4:00:00 PM,"60 Washington St, 02121",42.307152,-71.081162,0.4,42.351948,-71.071586999999994
69,5023,WASHINGTON ST,2132,42.26604,-71.15231,D2D,1,25025130404,3,0.4,Joe Morgan School,8:30:00 AM,3:10:00 PM,"195 Leyden St, 02128",42.388404,-71.004216,0.0,42.266040000000004,-71.15231
70,1,WESTINGHOUSE PZ,2136,42.3594,-71.0587,D2D,0,25025030300,7,0.3,Ellis Kinder School,8:30:00 AM,3:10:00 PM,"60 Hawthorne St, 02136",42.28301,-71.126357,0.0,42.359400000000001,-71.058700000000002
71,5050,WASHINGTON ST,2132,42.26554,-71.15205,Corner,6,25025130406,2,0.5,Don Zimmer School,9:30:00 AM,5:00:00 PM,"67 Alleghany St, 02120",42.330669,-71.099301,0.5,42.26146,-71.151480000000006
72,1,PRESCOTT ST,2128,42.380951,-71.031366,D2D,6,25025050901,4,0.5,George Scott School,9:30:00 AM,5:00:00 PM,"152 Arlington St, 02116",42.34842,-71.068867,0.0,42.380951000000003,-71.031366000000006
73,5050,WASHINGTON ST,2132,42.26554,-71.15205,Corner,1,25025130406,2,0.4,Sr. Kennedy School,8:30:00 AM,3:10:00 PM,"160 Harrishof St, 02119",42.317688,-71.091564,0.4,42.26146,-71.151480000000006
74,5050,WASHINGTON ST,2132,42.26554,-71.15205,Corner,2,25025130406,2,0.4,Jerry Remy School,8:30:00 AM,4:00:00 PM,"315 Mt Vernon St, 02125",42.317753,-71.043822,0.4,42.26146,-71.151480000000006
75,1,PARK LA,2127,42.34848,-71.038813,Corner,4,25025060600,6,0.5,Bob Stanley School,9:30:00 AM,5:00:00 PM,"11 Charles St, 02122",42.300881,-71.061732,0.5,42.347099,-71.038057999999992
76,1,BIRD PL,2132,42.28366,-71.15774,Corner,2,25025130200,2,0.3,Dick Bresciani School,7:30:00 AM,3:00:00 PM,"20 Church St, 02116",42.348816,-71.068212,0.3,42.285284000000004,-71.152336000000005
77,5050,WASHINGTON ST,2132,42.26554,-71.15205,Corner,6,25025130406,2,0.5,Bill Lee School,8:30:00 AM,3:10:00 PM,"25 Warren St, 02135",42.349138,-71.145516,0.5,42.26146,-71.151480000000006
78,5140,WASHINGTON ST,2132,42.26248,-71.1553,D2D,6,25025130406,2,0.5,Frank Sullivan School,9:30:00 AM,4:10:00 PM,"174 Ipswich St, 02215",42.346182,-71.094974,0.0,42.262479999999996,-71.155299999999997
79,1,AVERY ST,2111,42.353458,-71.062852,D2D,3,25025070101,7,0.5,Everett Scott School,9:30:00 AM,5:00:00 PM,"25 Glen Rd, 02130",42.308935,-71.103466,0.0,42.353458000000003,-71.062852000000007
80,5170,WASHINGTON ST,2132,42.2619,-71.15603,D2D,6,25025130406,2,0.5,Eddie Kasko School,8:30:00 AM,4:00:00 PM,"97 Peterborough St, 02215",42.343455,-71.099084,0.0,42.261899999999997,-71.156030000000001
81,5170,WASHINGTON ST,2132,42.2619,-71.15603,Corner,6,25025130406,2,0.5,George Lewis School,8:30:00 AM,3:10:00 PM,"10 Fenwood Rd, 02115",42.33392,-71.106364,0.5,42.264559999999996,-71.163619999999995
82,5289,WASHINGTON ST,2132,42.25921,-71.16013,Corner,4,25025130404,3,0.5,Dick Bresciani School,7:30:00 AM,3:00:00 PM,"20 Church St, 02116",42.348816,-71.068212,0.5,42.264559999999996,-71.163619999999995
83,5289,WASHINGTON ST,2132,42.25921,-71.16013,Corner,1,25025130404,3,0.4,Jimmie Foxx School,7:30:00 AM,3:00:00 PM,"50 Burke St, 02127",42.337285,-71.085266,0.4,42.264119999999998,-71.161380000000008
84,5309,WASHINGTON ST,2132,42.258514,-71.160918,Corner,2,25025130404,3,0.3,Bill Monbouquette School,8:30:00 AM,4:00:00 PM,"240 Medford St, 02129",42.380102,-71.061057,0.3,42.255980000000001,-71.158540000000002
85,1,NASSAU ST,2111,42.34856,-71.062948,Corner,5,25025070200,7,0.5,Ned Martin School,8:30:00 AM,4:00:00 PM,"50 Beechcroft St, 02135",42.351069,-71.161468,0.5,42.343330000000002,-71.066009999999991
86,42799,CHILCOTT PL,2130,42.31325,-71.10015,D2D,6,25025120301,5,0.5,Dick Bresciani School,7:30:00 AM,3:00:00 PM,"20 Church St, 02116",42.348816,-71.068212,0.0,42.313249999999996,-71.100149999999999
87,1,EVERETT CT,2128,42.36553,-71.02962,D2D,2,25025051200,3,0.4,John Harrington School,8:30:00 AM,4:00:00 PM,"154 Ruskindale Rd, 02126",42.26739,-71.104443,0.0,42.36553,-71.029619999999994
88,1,EVERETT CT,2128,42.36553,-71.02962,D2D,2,25025051200,3,0.4,Dick Radatz School,8:30:00 AM,4:00:00 PM,"1205 VFW Pkwy, 02132",42.282206,-71.174549,0.0,42.36553,-71.029619999999994
89,43020,STORY ST,2127,42.33349,-71.04346,D2D,0,25025060400,2,0.2,Luis Tiant School,9:30:00 AM,5:00:00 PM,"6 Shirley St, 02119",42.323526,-71.072897,0.0,42.333490000000005,-71.043459999999996
90,1,NASSAU ST,2111,42.34856,-71.062948,D2D,2,25025070200,7,0.4,Tom Yawkey School,7:30:00 AM,2:10:00 PM,"70 Worcester St, 02118",42.338748,-71.077747,0.0,42.348559999999999,-71.062947999999992
91,1,GARDEN ST,2114,42.360895,-71.067099,Corner,4,25025020200,2,0.5,Frank Malzone School,8:30:00 AM,4:00:00 PM,"20 Kearsarge Ave, 02119",42.327022,-71.081716,0.5,42.356884000000001,-71.059128999999999
92,1,AVERY ST,2111,42.353458,-71.062852,Corner,3,25025070101,7,0.5,Smoky Wood School,9:30:00 AM,5:00:00 PM,"302 Walnut Ave, 02119",42.316916,-71.092292,0.5,42.350850000000001,-71.056820000000002
93,1,AVERY ST,2111,42.353458,-71.062852,D2D,5,25025070101,7,0.5,Tom Yawkey School,7:30:00 AM,2:10:00 PM,"70 Worcester St, 02118",42.338748,-71.077747,0.0,42.353458000000003,-71.062852000000007
94,1,HOLDEN RO,2129,42.3782,-71.06541,D2D,5,25025040300,3,0.5,Tony Conigliaro School,8:30:00 AM,3:10:00 PM,"7 Bolster St, 02130",42.321804,-71.105636,0.0,42.3782,-71.06541
95,1,NASSAU ST,2111,42.34856,-71.062948,D2D,3,25025070200,7,0.3,Wes Ferrell School,8:30:00 AM,3:10:00 PM,"20 Child St, 02130",42.307318,-71.114485,0.0,42.348559999999999,-71.062947999999992
96,1,HUNTINGTON AV,2116,42.34872,-71.07826,Corner,4,25025010600,7,0.5,Harry Hooper School,7:30:00 AM,2:10:00 PM,"9 Peacevale Rd, 02124",42.285125,-71.076013,0.5,42.341850000000001,-71.080559999999991
97,1,PRESCOTT ST,2128,42.380951,-71.031366,Corner,1,25025050901,4,0.4,Bruce Hurst School,8:30:00 AM,4:00:00 PM,"144 McBride St, 02130",42.306584,-71.109228,0.4,42.379989999999999,-71.026698999999994
98,1,PARK LA,2127,42.34848,-71.038813,Corner,4,25025060600,6,0.3,Dom DiMaggio School,8:30:00 AM,4:00:00 PM,"60 Washington St, 02121",42.307152,-71.081162,0.3,42.347099,-71.038057999999992
99,1,PARK LA,2127,42.34848,-71.038813,Corner,2,25025060600,6,0.4,Pete Runnels School,8:30:00 AM,3:10:00 PM,"95 Needham Rd, 02136",42.243071,-71.124169,0.4,42.347099,-71.038057999999992
100,1,ATLANTIC ST,2127,42.33453,-71.04643,Corner,5,25025060400,2,0.5,Lefty Grove School,7:30:00 AM,3:00:00 PM,"150 Norfolk Ave, 02119",42.326126,-71.071284,0.5,42.335709999999999,-71.041420000000002
101,1,PARK LA,2127,42.34848,-71.038813,D2D,2,25025060600,6,0.4,Ellis Burks School,7:30:00 AM,2:10:00 PM,"90 Warren Ave, 02116",42.344252,-71.07349,0.0,42.348480000000002,-71.038813000000005
102,1,HUNTINGTON AV,2116,42.348784,-71.078009,Corner,4,25025010600,7,0.5,Tommy Harper School,8:30:00 AM,4:00:00 PM,"396 Northampton St, 02118",42.340473,-71.08306,0.5,42.341850000000001,-71.080559999999991
103,1,CHARLES STREET SOUTH  ,2116,42.351541,-71.067431,Corner,4,25025070300,5,0.3,Dwight Evans School,8:30:00 AM,3:10:00 PM,"90 Warren Ave, 02116",42.344252,-71.07349,0.3,42.351948,-71.071586999999994
104,1,MELBOURNE ST,2124,42.29158,-71.06625,Corner,0,25025100500,6,0.2,Tony Conigliaro School,8:30:00 AM,3:10:00 PM,"7 Bolster St, 02130",42.321804,-71.105636,0.2,42.289650000000002,-71.06553000000001
105,1,DEVENS ST,2129,42.37384,-71.06369,D2D,2,25025040401,4,0.3,Jimmie Foxx School,7:30:00 AM,3:00:00 PM,"50 Burke St, 02127",42.337285,-71.085266,0.0,42.373840000000001,-71.063690000000008
106,1,WESTINGHOUSE PZ,2136,42.3594,-71.0587,Corner,4,25025030300,7,0.5,Dick Radatz School,8:30:00 AM,4:00:00 PM,"1205 VFW Pkwy, 02132",42.282206,-71.174549,0.5,42.356884000000001,-71.059128999999999
107,1,CHARLES STREET SOUTH  ,2116,42.351541,-71.067431,Corner,2,25025070300,5,0.4,Pedro Martinez School,8:30:00 AM,3:10:00 PM,"60 Glenmont Rd, 02135",42.345453,-71.160198,0.4,42.351948,-71.071586999999994
108,1,CHARLES STREET SOUTH  ,2116,42.351541,-71.067431,Corner,5,25025070300,5,0.5,Bobby Doerr School,7:30:00 AM,2:10:00 PM,"86 White St, 02128",42.381099,-71.035074,0.5,42.344642,-71.070061999999993
109,1,REGENT CI,2130,42.313585,-71.116789,D2D,1,25025120103,1,0.4,Wes Ferrell School,8:30:00 AM,3:10:00 PM,"20 Child St, 02130",42.307318,-71.114485,0.0,42.313584999999996,-71.116788999999997
110,1,PARK LA,2127,42.34848,-71.038813,Corner,4,25025060600,6,0.3,Don Zimmer School,9:30:00 AM,5:00:00 PM,"67 Alleghany St, 02120",42.330669,-71.099301,0.3,42.347099,-71.038057999999992
111,1,HARVEST TE,2125,42.32302,-71.05739,Corner,5,25025090700,6,0.4,Ben Mondor School,7:30:00 AM,3:00:00 PM,"205 Townsend St, 02121",42.316794,-71.084757,0.4,42.320190000000004,-71.057149999999993
112,1,CHARLES STREET SOUTH  ,2116,42.351541,-71.067431,Corner,0,25025070300,5,0.3,Pedro Martinez School,8:30:00 AM,3:10:00 PM,"60 Glenmont Rd, 02135",42.345453,-71.160198,0.3,42.351948,-71.071586999999994
113,1,PARKMAN PL,2122,42.29719,-71.05824,Corner,4,25025092101,6,0.5,Jerry Remy School,8:30:00 AM,4:00:00 PM,"315 Mt Vernon St, 02125",42.317753,-71.043822,0.5,42.290289999999999,-71.05601999999999
114,1,HASLET ST,2131,42.28457,-71.13412,Corner,0,25025110502,4,0.3,Nomar Garciaparra School,8:30:00 AM,3:10:00 PM,"54 Dighton St, 02135",42.347796,-71.155576,0.3,42.287584000000003,-71.135245999999995
115,1,GRIMES ST,2127,42.33428,-71.05125,D2D,0,25025060800,4,0.3,Eddie Collins School,7:30:00 AM,3:00:00 PM,"50 St Mary St, 02215",42.347944,-71.106757,0.0,42.33428,-71.051249999999996
116,1,MEAD STREET CT,2129,42.38015,-71.06843,Corner,1,25025040600,3,0.4,Ellis Burks School,7:30:00 AM,2:10:00 PM,"90 Warren Ave, 02116",42.344252,-71.07349,0.4,42.380470000000003,-71.065349999999995
